 2005, 1, 1, 1,0,0,0,0,0,24.3
 2005, 1, 1, 2,0,0,0,0,0,24.0
 2005, 1, 1, 3,0,0,0,0,0,23.7
 2005, 1, 1, 4,0,0,0,0,0,23.6
 2005, 1, 1, 5,0,0,0,0,0,23.4
 2005, 1, 1, 6,0,0,0,0,0,23.3
 2005, 1, 1, 7,7,7,7,7,0,23.5
 2005, 1, 1, 8,116,105,116,105,41,24.9
 2005, 1, 1, 9,231,204,231,204,62,26.3
 2005, 1, 1, 10,333,284,333,284,83,27.6
 2005, 1, 1, 11,391,334,391,334,83,28.7
 2005, 1, 1, 12,482,377,482,377,143,29.8
 2005, 1, 1, 13,491,367,491,367,171,30.7
 2005, 1, 1, 14,456,322,456,322,206,31.1
 2005, 1, 1, 15,416,203,416,203,405,31.4
 2005, 1, 1, 16,273,127,273,127,413,31.2
 2005, 1, 1, 17,110,59,110,59,340,30.4
 2005, 1, 1, 18,1,1,1,1,0,29.4
 2005, 1, 1, 19,0,0,0,0,0,28.8
 2005, 1, 1, 20,0,0,0,0,0,28.3
 2005, 1, 1, 21,0,0,0,0,0,27.7
 2005, 1, 1, 22,0,0,0,0,0,27.2
 2005, 1, 1, 23,0,0,0,0,0,26.6
 2005, 1, 1, 24,0,0,0,0,0,26.1
 2005, 1, 2, 1,0,0,0,0,0,25.5
 2005, 1, 2, 2,0,0,0,0,0,24.9
 2005, 1, 2, 3,0,0,0,0,0,24.3
 2005, 1, 2, 4,0,0,0,0,0,24.0
 2005, 1, 2, 5,0,0,0,0,0,23.6
 2005, 1, 2, 6,0,0,0,0,0,23.4
 2005, 1, 2, 7,11,11,11,11,0,23.6
 2005, 1, 2, 8,201,61,201,61,558,25.5
 2005, 1, 2, 9,435,144,435,144,664,27.8
 2005, 1, 2, 10,358,273,358,273,144,28.5
 2005, 1, 2, 11,379,329,379,329,73,29.0
 2005, 1, 2, 12,369,338,369,338,42,29.3
 2005, 1, 2, 13,154,154,154,154,0,28.5
 2005, 1, 2, 14,256,246,256,246,16,28.3
 2005, 1, 2, 15,239,224,239,224,28,28.2
 2005, 1, 2, 16,185,151,185,151,95,27.9
 2005, 1, 2, 17,103,62,103,62,270,27.4
 2005, 1, 2, 18,1,1,1,1,0,26.6
 2005, 1, 2, 19,0,0,0,0,0,26.3
 2005, 1, 2, 20,0,0,0,0,0,25.8
 2005, 1, 2, 21,0,0,0,0,0,25.5
 2005, 1, 2, 22,0,0,0,0,0,25.1
 2005, 1, 2, 23,0,0,0,0,0,24.5
 2005, 1, 2, 24,0,0,0,0,0,23.6
 2005, 1, 3, 1,0,0,0,0,0,24.1
 2005, 1, 3, 2,0,0,0,0,0,24.0
 2005, 1, 3, 3,0,0,0,0,0,23.9
 2005, 1, 3, 4,0,0,0,0,0,23.9
 2005, 1, 3, 5,0,0,0,0,0,23.9
